MapDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
20220614,AK,55.53,44.47,11.79,0.10,0.00,0.00,2022-06-14,2022-06-20
20220614,AL,99.18,0.82,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,AR,99.87,0.13,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,AZ,0.00,100.00,98.48,77.90,26.77,3.01,2022-06-14,2022-06-20
20220614,CA,0.00,100.00,99.79,97.48,59.81,11.59,2022-06-14,2022-06-20
20220614,CO,1.09,98.91,81.75,42.97,15.89,0.23,2022-06-14,2022-06-20
20220614,CT,43.54,56.46,21.21,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,DC,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,DE,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,FL,89.13,10.87,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,GA,50.14,49.86,15.93,3.31,0.00,0.00,2022-06-14,2022-06-20
20220614,HI,37.70,62.30,25.56,13.15,3.98,0.00,2022-06-14,2022-06-20
20220614,IA,71.52,28.48,9.34,3.46,0.00,0.00,2022-06-14,2022-06-20
20220614,ID,28.26,71.74,48.25,16.97,3.41,0.00,2022-06-14,2022-06-20
20220614,IL,82.71,17.29,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,IN,94.23,5.77,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,KS,41.37,58.63,46.39,26.73,16.25,1.03,2022-06-14,2022-06-20
20220614,KY,86.47,13.53,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,LA,15.08,84.92,42.08,22.96,8.87,0.00,2022-06-14,2022-06-20
20220614,MA,15.66,84.34,24.64,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MD,97.84,2.16,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,ME,65.29,34.71,2.16,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MI,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MN,98.27,1.73,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MO,96.32,3.68,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MS,72.62,27.38,0.23,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,MT,15.70,84.30,47.12,23.09,14.10,4.09,2022-06-14,2022-06-20
20220614,NC,46.16,53.84,27.52,8.16,0.00,0.00,2022-06-14,2022-06-20
20220614,ND,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,NE,9.18,90.82,83.11,39.45,3.83,0.00,2022-06-14,2022-06-20
20220614,NH,94.44,5.56,0.91,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,NJ,93.40,6.60,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,NM,0.00,100.00,100.00,97.41,90.45,52.17,2022-06-14,2022-06-20
20220614,NV,0.00,100.00,100.00,99.52,58.61,21.32,2022-06-14,2022-06-20
20220614,NY,93.92,6.08,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,OH,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,OK,59.68,40.32,30.38,15.81,5.45,1.46,2022-06-14,2022-06-20
20220614,OR,24.25,75.75,67.93,56.72,40.06,1.93,2022-06-14,2022-06-20
20220614,PA,99.79,0.21,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,PR,8.04,91.96,67.32,1.32,0.00,0.00,2022-06-14,2022-06-20
20220614,RI,0.00,100.00,92.20,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,SC,29.54,70.46,29.11,3.95,0.00,0.00,2022-06-14,2022-06-20
20220614,SD,45.54,54.46,30.04,6.34,0.00,0.00,2022-06-14,2022-06-20
20220614,TN,86.29,13.71,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,TX,8.59,91.41,79.97,64.03,42.47,16.78,2022-06-14,2022-06-20
20220614,UT,0.00,100.00,100.00,99.88,82.83,5.71,2022-06-14,2022-06-20
20220614,VA,83.19,16.81,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,VT,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,WA,61.60,38.40,11.84,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,WI,82.66,17.34,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,WV,96.74,3.26,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20
20220614,WY,7.31,92.69,64.56,23.46,4.50,0.00,2022-06-14,2022-06-20
